id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,bairro,crawled_at
2528373709,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-117m2-venda-RS1530000-id-2528373709/,"Apartamento com 3 Quartos à Venda, 117m²","Rua Joaquim Guarani, 452 - Brooklin, São Paulo - SP",117,3 Quartos,5 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 1.530.000,R$ 1.220,Brooklin,2021-10-10 13:53
2537013889,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-108m2-venda-RS1127690-id-2537013889/,"Apartamento com 3 Quartos à Venda, 108m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",108,3 Quartos,4 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 1.127.690,R$ 972,Brooklin,2021-10-10 13:53
2535302143,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-60m2-venda-RS1100000-id-2535302143/,Apartamento com 2 Quartos para Venda/Aluguel 60m²,"Rua Guararapes, 443 - Brooklin, São Paulo - SP",60,2 Quartos,1 Banheiro,1 Vaga,"Garagem
Condomínio fechado","R$ 3.000 /mês
R$ 1.100.000",R$ 680,Brooklin,2021-10-10 13:53
2531791178,https://www.vivareal.com.br/imovel/cobertura-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-270m2-venda-RS1800000-id-2531791178/,"Apartamento com 3 Quartos à Venda, 270m²","Rua dos Brasões, 78 - Brooklin, São Paulo - SP",270,3 Quartos,5 Banheiros,4 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 1.800.000,R$ 3.452,Brooklin,2021-10-10 13:53
https://www.vivareal.com.br/imoveis-lancamento/show-zona-sul-2533789894,https://www.vivareal.com.br/imoveis-lancamento/show-zona-sul-2533789894/,Show Zona Sul,"Rua Pontes de Morais, 610 - Jardim da Pedreira, São Paulo - SP",32-37,1-2 Quartos,1 Banheiro,-- Vaga,,Sob Consulta,,Brooklin,2021-10-10 13:53
2534154175,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-113m2-venda-RS1350000-id-2534154175/,"Apartamento com 3 Quartos à Venda, 113m²","Avenida Portugal - Brooklin, São Paulo - SP",113,3 Quartos,3 Banheiros,2 Vagas,,R$ 1.350.000,R$ 1.480,Brooklin,2021-10-10 13:53
2534752089,https://www.vivareal.com.br/imovel/cobertura-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1390000-id-2534752089/,"Apartamento com 3 Quartos à Venda, 170m²","Rua Pensilvânia - Brooklin, São Paulo - SP",170,3 Quartos,4 Banheiros,2 Vagas,"Condomínio fechado
Portaria 24h
Aceita animais
Lareira",R$ 1.390.000,R$ 1.300,Brooklin,2021-10-10 13:53
2511890509,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-141m2-venda-RS1690000-id-2511890509/,"Apartamento com 3 Quartos à Venda, 141m²","Rua Guararapes - Brooklin, São Paulo - SP",141,3 Quartos,4 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 1.690.000,R$ 1.400,Brooklin,2021-10-10 13:53
2534302181,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-67m2-venda-RS699900-id-2534302181/,"Apartamento com 2 Quartos à Venda, 67m²","Rua Getúlio Soares da Rocha - Brooklin, São Paulo - SP",67,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Academia
Espaço gourmet
...",R$ 699.900,,Brooklin,2021-10-10 13:53
2534740085,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS560000-id-2534740085/,"Apartamento com 2 Quartos à Venda, 70m²","Praça General Gentil Falcão, 175 - Brooklin, São Paulo - SP",70,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Área de serviço
Armário embutido no quarto
Armário na cozinha
TV a cabo
...",R$ 560.000,R$ 777,Brooklin,2021-10-10 13:53
2520093407,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-33m2-venda-RS389000-id-2520093407/,"Apartamento com Quarto à Venda, 33m²","Rua Gabriel de Lara, 545 - Brooklin, São Paulo - SP",33,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 389.000,R$ 330,Brooklin,2021-10-10 13:53
https://www.vivareal.com.br/imoveis-lancamento/pics-2526075583,https://www.vivareal.com.br/imoveis-lancamento/pics-2526075583/,PICS,"Avenida Nossa Senhora do Sabará, 4885 - Vila Emir, São Paulo - SP",35-36,2 Quartos,1 Banheiro,-- Vaga,,R$ 163.900,,Brooklin,2021-10-10 13:53
2537560582,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-107m2-venda-RS1353000-id-2537560582/,"Apartamento com 3 Quartos à Venda, 107m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",107,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 1.353.000,,Brooklin,2021-10-10 13:53
2528282611,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-258m2-venda-RS3500000-id-2528282611/,"Apartamento com 4 Quartos à Venda, 258m²","Rua Ministro Luiz Gallotti - Brooklin, São Paulo - SP",258,4 Quartos,5 Banheiros,4 Vagas,"Churrasqueira
Piscina
Playground
Salão de festas
Jardim",R$ 3.500.000,R$ 2.200,Brooklin,2021-10-10 13:53
2531005319,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-301m2-venda-RS5000000-id-2531005319/,"Apartamento com 3 Quartos à Venda, 301m²","Rua Flórida, 320 - Brooklin, São Paulo - SP",301,3 Quartos,7 Banheiros,4 Vagas,"Condomínio fechado
Academia
Espaço gourmet
Ar-condicionado
Área de serviço
...",R$ 5.000.000,,Brooklin,2021-10-10 13:53
2536708278,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-80m2-venda-RS720000-id-2536708278/,Apartamento com 3 Quartos à Venda/Aluguel 80m²,"Brooklin, São Paulo - SP",80,3 Quartos,2 Banheiros,1 Vaga,"Academia
Churrasqueira
Espaço gourmet
Piscina
Salão de festas","R$ 3.500 /mês
R$ 720.000",R$ 1.050,Brooklin,2021-10-10 13:53
