id,url,header,address,area,bathrooms,garages,amenites,price,condo,bairro,crawled_at
2533344317,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-128m2-venda-RS2850000-id-2533344317/,"Apartamento com 2 Quartos à Venda, 128m²","Rua Michigan, 470 - Brooklin, São Paulo - SP",128,4 Banheiros,2 Vagas,Piscina Mobiliado Condomínio fechado Academia Espaço gourmet ...,R$ 2.850.000,R$ 1.190,Brooklin,2021-10-10 15:43
2533250609,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-142m2-venda-RS1657000-id-2533250609/,"Apartamento com 3 Quartos à Venda, 142m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",142,5 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 1.657.000,R$ 1.377,Brooklin,2021-10-10 15:43
2530490784,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-167m2-venda-RS1900000-id-2530490784/,"Apartamento com 3 Quartos à Venda, 167m²","Rua Princesa Isabel, 89 - Brooklin, São Paulo - SP",167,5 Banheiros,3 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.900.000,R$ 2.000,Brooklin,2021-10-10 15:43
2530313477,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-69m2-venda-RS699000-id-2530313477/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Getúlio Soares da Rocha - Brooklin, São Paulo - SP",69,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 699.000,R$ 700,Brooklin,2021-10-10 15:43
2531165429,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-92m2-venda-RS141000000-id-2531165429/,"Apartamento com 3 Quartos à Venda, 92m²","Rua Pássaros e Flores, 210 - Brooklin, São Paulo - SP",92,2 Banheiros,2 Vagas,Churrasqueira Elevador Condomínio fechado Academia Espaço gourmet ...,R$ 141.000.000,R$ 610,Brooklin,2021-10-10 15:44
https://www.vivareal.com.br/imoveis-lancamento/side-alto-da-boa-vista-2530665884,https://www.vivareal.com.br/imoveis-lancamento/side-alto-da-boa-vista-2530665884/,SIDE ALTO DA BOA VISTA,"Rua Coronel Luís Barroso, 345 - Santo Amaro, São Paulo - SP",59-80,1 Banheiro,1 Vaga,None,R$ 584.000,,Brooklin,2021-10-10 15:44
2509218380,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-110m2-venda-RS1318120-id-2509218380/,"Apartamento com 3 Quartos à Venda, 110m²","Rua Joaquim Guarani, 267 - Brooklin, São Paulo - SP",110,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.318.120,,Brooklin,2021-10-10 15:44
2523319838,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-175m2-venda-RS2945000-id-2523319838/,"Apartamento com 3 Quartos à Venda, 175m²","Rua Nova York, 161 - Brooklin, São Paulo - SP",175,4 Banheiros,3 Vagas,Piscina Churrasqueira Condomínio fechado Academia Aceita animais ...,R$ 2.945.000,R$ 1.500,Brooklin,2021-10-10 15:44
2534376998,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-110m2-venda-RS1500000-id-2534376998/,"Apartamento com 3 Quartos à Venda, 110m²","Rua Stela Marina, 0 - Brooklin, São Paulo - SP",110,3 Banheiros,2 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 1.500.000,,Brooklin,2021-10-10 15:44
2536044889,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-165m2-venda-RS2450000-id-2536044889/,"Apartamento com 4 Quartos à Venda, 165m²","Rua Professor José Leite e Oiticica - Brooklin, São Paulo - SP",165,5 Banheiros,3 Vagas,Piscina Churrasqueira Elevador Varanda Área de serviço ...,R$ 2.450.000,R$ 2.100,Brooklin,2021-10-10 15:44
2528072032,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-69m2-venda-RS719000-id-2528072032/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Andréa Paulinetti, 241 - Brooklin, São Paulo - SP",69,2 Banheiros,1 Vaga,Piscina Elevador Condomínio fechado Academia Aceita animais ...,R$ 719.000,R$ 550,Brooklin,2021-10-10 15:44
2536795746,https://www.vivareal.com.br/imovel/apartamento-5-quartos-brooklin-zona-sul-sao-paulo-com-garagem-238m2-venda-RS3295000-id-2536795746/,"Apartamento com 5 Quartos à Venda, 238m²","Avenida Nova Independência, 1010 - Brooklin, São Paulo - SP",238,7 Banheiros,4 Vagas,Piscina Churrasqueira Ar-condicionado Jardim Área de serviço ...,R$ 3.295.000,R$ 3.080,Brooklin,2021-10-10 15:44
https://www.vivareal.com.br/imoveis-lancamento/side-alto-da-boa-vista-2518062214,https://www.vivareal.com.br/imoveis-lancamento/side-alto-da-boa-vista-2518062214/,Side Alto da Boa Vista,"Rua Coronel Luís Barroso, 345 - Alto Da Boa Vista, São Paulo - SP",59-80,2 Banheiros,1 Vaga,None,Sob Consulta,,Brooklin,2021-10-10 15:44
